   45																																													
Setophaga_graciae_UWBM_114128_CHIH    	0.26571	0.26085	0.19480	0.26397	0.26122	0.23973	0.24421	0.19565	0.19637	0.19401	0.19312	0.19697	0.19552	0.20733	0.21233	0.20421	0.23233	0.23624	0.19348	0.19645	0.19144	0.19365	0.19078	0.19420	0.19293	0.19436	0.19081	0.19177	0.19499	0.19246	0.19054	0.00000	0.19763	0.19620	0.20596	0.25893	0.19326	0.19607	0.19412	0.24213	0.24311	0.24557	0.24181	0.24058	0.19657
Setophaga_graciae_UWBM_114282_NEV    	0.27097	0.26328	0.19382	0.26900	0.26886	0.24600	0.24933	0.19679	0.19526	0.19519	0.19184	0.19531	0.19545	0.21423	0.21954	0.21336	0.24171	0.24305	0.19863	0.20300	0.19954	0.20055	0.19710	0.19921	0.19898	0.19966	0.19746	0.20208	0.20221	0.19649	0.19688	0.19763	0.00000	0.19206	0.21140	0.26369	0.19805	0.19631	0.19821	0.25021	0.24946	0.25115	0.25089	0.24913	0.19927
Setophaga_graciae_UWBM_114424_NEV    	0.26713	0.26039	0.19238	0.26578	0.26436	0.24274	0.24636	0.19569	0.19385	0.19323	0.19098	0.19350	0.19222	0.21255	0.21602	0.21075	0.23730	0.23895	0.19736	0.19836	0.19517	0.19643	0.19888	0.19619	0.19730	0.19650	0.19654	0.20069	0.19840	0.19710	0.19510	0.19620	0.19206	0.00000	0.21039	0.26159	0.19530	0.19355	0.19375	0.24757	0.24718	0.24686	0.24587	0.24688	0.19341
Setophaga_graciae_UWBM_115308_GUE    	0.25591	0.25232	0.20972	0.25928	0.25673	0.23575	0.23860	0.21170	0.21013	0.20820	0.21172	0.20845	0.20916	0.18442	0.19001	0.18361	0.22642	0.22956	0.20575	0.20778	0.20747	0.20874	0.20652	0.20883	0.20864	0.20877	0.20778	0.20960	0.21043	0.20730	0.20832	0.20596	0.21140	0.21039	0.00000	0.25518	0.20977	0.21177	0.20949	0.23357	0.23836	0.23889	0.23778	0.23583	0.21200
Setophaga_graciae_UWBM_69981_PCA    	0.23843	0.23118	0.26113	0.14552	0.14409	0.19852	0.20252	0.26399	0.26240	0.25982	0.26199	0.26189	0.26348	0.25404	0.25899	0.25344	0.21309	0.21454	0.25917	0.26040	0.25869	0.25960	0.26020	0.25807	0.25889	0.25838	0.25924	0.26171	0.26290	0.25903	0.26215	0.25893	0.26369	0.26159	0.25518	0.00000	0.26180	0.26108	0.26286	0.20086	0.20222	0.20097	0.20083	0.19969	0.26197
Setophaga_graciae_UWBM_77653_ARI    	0.26539	0.26139	0.19522	0.26571	0.26302	0.24127	0.24279	0.19553	0.19487	0.19392	0.19282	0.19402	0.19528	0.20829	0.21346	0.21188	0.23565	0.23606	0.19591	0.19898	0.19542	0.19356	0.19486	0.19490	0.19479	0.19589	0.19540	0.19788	0.19644	0.19476	0.19437	0.19326	0.19805	0.19530	0.20977	0.26180	0.00000	0.19486	0.18736	0.24362	0.24441	0.24597	0.24469	0.24382	0.19613
Setophaga_graciae_UWBM_77735_ARI    	0.26323	0.25735	0.19264	0.26713	0.26306	0.23978	0.24515	0.19649	0.19479	0.19293	0.19318	0.19340	0.19681	0.21082	0.21650	0.20986	0.23608	0.23878	0.19861	0.20186	0.19671	0.19731	0.19742	0.19933	0.19957	0.19728	0.19729	0.20010	0.19863	0.19569	0.19684	0.19607	0.19631	0.19355	0.21177	0.26108	0.19486	0.00000	0.19693	0.24316	0.24614	0.24669	0.24609	0.24307	0.19665
Setophaga_graciae_UWBM_84639_ARI    	0.26524	0.26057	0.19388	0.26598	0.26330	0.24459	0.24586	0.19505	0.19565	0.19307	0.19404	0.19592	0.19504	0.21228	0.21599	0.21148	0.23580	0.23729	0.19402	0.19821	0.19341	0.19454	0.19460	0.19884	0.19619	0.19409	0.19412	0.19610	0.19957	0.19352	0.19240	0.19412	0.19821	0.19375	0.20949	0.26286	0.18736	0.19693	0.00000	0.24656	0.24641	0.24510	0.24848	0.24462	0.19687
Setophaga_graciae_UWBM_93801_CPN    	0.22157	0.21859	0.24515	0.20422	0.20155	0.17684	0.18018	0.24602	0.24639	0.24440	0.24611	0.24614	0.24577	0.23738	0.24372	0.23711	0.19304	0.19653	0.24327	0.24508	0.24282	0.24184	0.24143	0.24374	0.24320	0.24292	0.24207	0.24403	0.24867	0.24278	0.24670	0.24213	0.25021	0.24757	0.23357	0.20086	0.24362	0.24316	0.24656	0.00000	0.17692	0.17632	0.17966	0.17535	0.24749
Setophaga_graciae_UWBM_93805_CPN    	0.22155	0.21841	0.24870	0.20399	0.20188	0.17978	0.17768	0.24831	0.24612	0.24451	0.24622	0.24678	0.24782	0.23961	0.24499	0.24007	0.19524	0.19611	0.24385	0.24757	0.24407	0.24364	0.24255	0.24277	0.24158	0.24726	0.24315	0.24637	0.24702	0.24361	0.24440	0.24311	0.24946	0.24718	0.23836	0.20222	0.24441	0.24614	0.24641	0.17692	0.00000	0.17838	0.17618	0.17542	0.24910
Setophaga_graciae_UWBM_93806_CPN    	0.22345	0.22090	0.24920	0.20300	0.20408	0.17765	0.17868	0.24960	0.24808	0.24548	0.24861	0.24659	0.24718	0.24050	0.24370	0.23994	0.19406	0.19714	0.24520	0.24849	0.24421	0.24682	0.24318	0.24598	0.24402	0.24619	0.24380	0.24824	0.24599	0.24513	0.24816	0.24557	0.25115	0.24686	0.23889	0.20097	0.24597	0.24669	0.24510	0.17632	0.17838	0.00000	0.17558	0.17549	0.24718
Setophaga_graciae_UWBM_93807_CPN    	0.22336	0.21965	0.24920	0.20471	0.20371	0.17855	0.18022	0.24760	0.24755	0.24397	0.24683	0.24524	0.24736	0.23761	0.24318	0.23723	0.19525	0.19579	0.24611	0.24852	0.24270	0.24297	0.24310	0.24484	0.24571	0.24510	0.24426	0.24681	0.24901	0.24372	0.24491	0.24181	0.25089	0.24587	0.23778	0.20083	0.24469	0.24609	0.24848	0.17966	0.17618	0.17558	0.00000	0.17679	0.24644
Setophaga_graciae_UWBM_93808_CPN    	0.22265	0.21707	0.24483	0.20294	0.20063	0.17488	0.17834	0.24346	0.24562	0.24050	0.24566	0.24524	0.24540	0.23547	0.24126	0.23631	0.19356	0.19560	0.24246	0.24618	0.24242	0.24147	0.24008	0.24226	0.24291	0.24154	0.24065	0.24390	0.24672	0.24283	0.24425	0.24058	0.24913	0.24688	0.23583	0.19969	0.24382	0.24307	0.24462	0.17535	0.17542	0.17549	0.17679	0.00000	0.24498
Setophaga_graciae_UWBM_95850_ARI    	0.26872	0.26309	0.19606	0.26689	0.26535	0.24481	0.24558	0.19647	0.19576	0.19376	0.19691	0.19742	0.19786	0.21317	0.21626	0.21257	0.23764	0.23962	0.19918	0.20150	0.19734	0.19816	0.19944	0.19850	0.19969	0.19690	0.19776	0.20106	0.20051	0.19753	0.19578	0.19657	0.19927	0.19341	0.21200	0.26197	0.19613	0.19665	0.19687	0.24749	0.24910	0.24718	0.24644	0.24498	0.00000
